order_id,is_anomaly,true_issue_type,split,notes
00000000-0000-4000-8000-000000000000,True,FEE_MISMATCH,dev,
00000000-0000-4000-8000-000000000001,False,,test,
00000000-0000-4000-8000-000000000002,True,DUPLICATE,test,
00000000-0000-4000-8000-000000000003,True,REFUND,dev,
00000000-0000-4000-8000-000000000004,False,,dev,
00000000-0000-4000-8000-000000000005,False,,dev,
00000000-0000-4000-8000-000000000006,False,,test,
00000000-0000-4000-8000-000000000007,True,FEE_MISMATCH,dev,
00000000-0000-4000-8000-000000000008,False,,test,
00000000-0000-4000-8000-000000000009,False,,test,
00000000-0000-4000-8000-000000000010,False,,dev,
00000000-0000-4000-8000-000000000011,True,MISSING_SETTLEMENT,test,
00000000-0000-4000-8000-000000000012,False,,dev,
00000000-0000-4000-8000-000000000013,False,,dev,
00000000-0000-4000-8000-000000000014,False,,dev,
00000000-0000-4000-8000-000000000015,False,,dev,
00000000-0000-4000-8000-000000000016,True,FEE_MISMATCH,dev,
00000000-0000-4000-8000-000000000017,False,,test,
00000000-0000-4000-8000-000000000018,False,,dev,
00000000-0000-4000-8000-000000000019,False,,dev,
00000000-0000-4000-8000-000000000020,False,,dev,
00000000-0000-4000-8000-000000000021,True,FEE_MISMATCH,dev,
00000000-0000-4000-8000-000000000022,False,,dev,
00000000-0000-4000-8000-000000000023,False,,dev,
00000000-0000-4000-8000-000000000024,False,,dev,
00000000-0000-4000-8000-000000000025,False,,test,
00000000-0000-4000-8000-000000000026,False,,dev,
00000000-0000-4000-8000-000000000027,False,,dev,
00000000-0000-4000-8000-000000000028,False,,dev,
00000000-0000-4000-8000-000000000029,True,FEE_MISMATCH,dev,
00000000-0000-4000-8000-000000000030,False,,dev,
00000000-0000-4000-8000-000000000031,True,REFUND,test,
00000000-0000-4000-8000-000000000032,True,MISSING_SETTLEMENT,test,
00000000-0000-4000-8000-000000000033,False,,dev,
00000000-0000-4000-8000-000000000034,True,REFUND,dev,
00000000-0000-4000-8000-000000000035,False,,dev,
00000000-0000-4000-8000-000000000036,False,,dev,
00000000-0000-4000-8000-000000000037,False,,dev,
00000000-0000-4000-8000-000000000038,False,,dev,
00000000-0000-4000-8000-000000000039,False,,test,
00000000-0000-4000-8000-000000000040,False,,dev,
00000000-0000-4000-8000-000000000041,False,,test,
00000000-0000-4000-8000-000000000042,True,FEE_MISMATCH,test,
00000000-0000-4000-8000-000000000043,False,,dev,
00000000-0000-4000-8000-000000000044,False,,dev,
00000000-0000-4000-8000-000000000045,True,FEE_MISMATCH,dev,
00000000-0000-4000-8000-000000000046,False,,dev,
00000000-0000-4000-8000-000000000047,False,,dev,
00000000-0000-4000-8000-000000000048,False,,dev,
00000000-0000-4000-8000-000000000049,False,,dev,
00000000-0000-4000-8000-000000000050,False,,dev,
00000000-0000-4000-8000-000000000051,True,TIMING,dev,
00000000-0000-4000-8000-000000000052,False,,dev,
00000000-0000-4000-8000-000000000053,False,,dev,
00000000-0000-4000-8000-000000000054,False,,dev,
00000000-0000-4000-8000-000000000055,False,,dev,
00000000-0000-4000-8000-000000000056,False,,test,
00000000-0000-4000-8000-000000000057,True,FEE_MISMATCH,dev,
00000000-0000-4000-8000-000000000058,False,,test,
00000000-0000-4000-8000-000000000059,False,,dev,
00000000-0000-4000-8000-000000000060,False,,test,
00000000-0000-4000-8000-000000000061,False,,dev,
00000000-0000-4000-8000-000000000062,False,,dev,
00000000-0000-4000-8000-000000000063,False,,dev,
00000000-0000-4000-8000-000000000064,False,,dev,
00000000-0000-4000-8000-000000000065,True,DUPLICATE,dev,
00000000-0000-4000-8000-000000000066,False,,dev,
00000000-0000-4000-8000-000000000067,False,,test,
00000000-0000-4000-8000-000000000068,False,,dev,
00000000-0000-4000-8000-000000000069,False,,test,
00000000-0000-4000-8000-000000000070,False,,dev,
00000000-0000-4000-8000-000000000071,False,,dev,
00000000-0000-4000-8000-000000000072,False,,dev,
00000000-0000-4000-8000-000000000073,False,,dev,
00000000-0000-4000-8000-000000000074,False,,dev,
00000000-0000-4000-8000-000000000075,True,DUPLICATE,test,
00000000-0000-4000-8000-000000000076,False,,dev,
00000000-0000-4000-8000-000000000077,True,DUPLICATE,dev,
00000000-0000-4000-8000-000000000078,False,,test,
00000000-0000-4000-8000-000000000079,True,DUPLICATE,test,
00000000-0000-4000-8000-000000000080,True,MISSING_SETTLEMENT,dev,
00000000-0000-4000-8000-000000000081,False,,test,
00000000-0000-4000-8000-000000000082,False,,dev,
00000000-0000-4000-8000-000000000083,True,AMOUNT_MISMATCH,dev,
00000000-0000-4000-8000-000000000084,False,,dev,
00000000-0000-4000-8000-000000000085,True,FEE_MISMATCH,dev,
00000000-0000-4000-8000-000000000086,True,DUPLICATE,dev,
00000000-0000-4000-8000-000000000087,False,,dev,
00000000-0000-4000-8000-000000000088,False,,test,
00000000-0000-4000-8000-000000000089,False,,dev,
00000000-0000-4000-8000-000000000090,False,,dev,
00000000-0000-4000-8000-000000000091,False,,dev,
00000000-0000-4000-8000-000000000092,False,,dev,
00000000-0000-4000-8000-000000000093,False,,dev,
00000000-0000-4000-8000-000000000094,False,,dev,
00000000-0000-4000-8000-000000000095,True,REFUND,dev,
00000000-0000-4000-8000-000000000096,False,,dev,
00000000-0000-4000-8000-000000000097,False,,dev,
00000000-0000-4000-8000-000000000098,False,,dev,
00000000-0000-4000-8000-000000000099,True,AMOUNT_MISMATCH,dev,
00000000-0000-4000-8000-000000000100,False,,dev,
00000000-0000-4000-8000-000000000101,False,,dev,
00000000-0000-4000-8000-000000000102,True,REFUND,dev,
00000000-0000-4000-8000-000000000103,True,REFUND,dev,
00000000-0000-4000-8000-000000000104,False,,test,
00000000-0000-4000-8000-000000000105,True,TIMING,dev,
00000000-0000-4000-8000-000000000106,True,REFUND,test,
00000000-0000-4000-8000-000000000107,False,,dev,
00000000-0000-4000-8000-000000000108,False,,dev,
00000000-0000-4000-8000-000000000109,False,,dev,
00000000-0000-4000-8000-000000000110,True,MISSING_SETTLEMENT,test,
00000000-0000-4000-8000-000000000111,False,,test,
00000000-0000-4000-8000-000000000112,False,,dev,
00000000-0000-4000-8000-000000000113,False,,dev,
00000000-0000-4000-8000-000000000114,False,,dev,
