id,order_number,customer_ref,amount_paise,currency,status,created_at
00000000-0000-4000-8000-000000000000,ORD-2026-000000,CUST-00096,702400,INR,PAID,2026-07-30T20:46:38
00000000-0000-4000-8000-000000000001,ORD-2026-000001,CUST-00255,325900,INR,PAID,2026-07-11T12:20:38
00000000-0000-4000-8000-000000000002,ORD-2026-000002,CUST-00135,212800,INR,PAID,2026-07-11T20:26:59
00000000-0000-4000-8000-000000000003,ORD-2026-000003,CUST-00310,1200500,INR,PAID,2026-06-06T22:44:11
00000000-0000-4000-8000-000000000004,ORD-2026-000004,CUST-00235,848000,INR,PAID,2026-08-18T14:19:03
00000000-0000-4000-8000-000000000005,ORD-2026-000005,CUST-00009,797900,INR,PAID,2026-06-18T10:54:54
00000000-0000-4000-8000-000000000006,ORD-2026-000006,CUST-00107,1174800,INR,PAID,2026-07-22T10:31:20
00000000-0000-4000-8000-000000000007,ORD-2026-000007,CUST-00091,704500,INR,PAID,2026-08-25T06:22:26
00000000-0000-4000-8000-000000000008,ORD-2026-000008,CUST-00061,1150800,INR,PAID,2026-05-31T11:19:20
00000000-0000-4000-8000-000000000009,ORD-2026-000009,CUST-00210,490200,INR,PAID,2026-06-30T01:09:19
00000000-0000-4000-8000-000000000010,ORD-2026-000010,CUST-00296,542300,INR,PAID,2026-07-31T20:58:31
00000000-0000-4000-8000-000000000011,ORD-2026-000011,CUST-00109,45000,INR,PAID,2026-07-18T11:02:19
00000000-0000-4000-8000-000000000012,ORD-2026-000012,CUST-00051,783400,INR,PAID,2026-06-25T18:06:19
00000000-0000-4000-8000-000000000013,ORD-2026-000013,CUST-00007,693800,INR,PAID,2026-06-22T20:05:05
00000000-0000-4000-8000-000000000014,ORD-2026-000014,CUST-00301,359300,INR,PAID,2026-07-20T00:34:12
00000000-0000-4000-8000-000000000015,ORD-2026-000015,CUST-00046,62900,INR,PAID,2026-07-08T03:45:38
00000000-0000-4000-8000-000000000016,ORD-2026-000016,CUST-00289,206400,INR,PAID,2026-07-10T13:17:23
00000000-0000-4000-8000-000000000017,ORD-2026-000017,CUST-00248,60100,INR,PAID,2026-08-10T12:33:35
00000000-0000-4000-8000-000000000018,ORD-2026-000018,CUST-00301,663000,INR,PAID,2026-07-11T22:15:25
00000000-0000-4000-8000-000000000019,ORD-2026-000019,CUST-00188,1368700,INR,PAID,2026-07-26T19:46:26
00000000-0000-4000-8000-000000000020,ORD-2026-000020,CUST-00193,698500,INR,PAID,2026-07-26T22:51:28
00000000-0000-4000-8000-000000000021,ORD-2026-000021,CUST-00336,723100,INR,PAID,2026-06-01T08:31:29
00000000-0000-4000-8000-000000000022,ORD-2026-000022,CUST-00383,328900,INR,PAID,2026-06-13T18:33:04
00000000-0000-4000-8000-000000000023,ORD-2026-000023,CUST-00342,526600,INR,PAID,2026-06-13T02:00:12
00000000-0000-4000-8000-000000000024,ORD-2026-000024,CUST-00265,1337700,INR,PAID,2026-08-07T08:07:33
00000000-0000-4000-8000-000000000025,ORD-2026-000025,CUST-00162,447500,INR,PAID,2026-07-30T10:37:10
00000000-0000-4000-8000-000000000026,ORD-2026-000026,CUST-00331,343800,INR,PAID,2026-08-27T02:20:50
00000000-0000-4000-8000-000000000027,ORD-2026-000027,CUST-00124,1096100,INR,PAID,2026-08-17T09:01:27
00000000-0000-4000-8000-000000000028,ORD-2026-000028,CUST-00328,1317200,INR,PAID,2026-08-09T15:54:21
00000000-0000-4000-8000-000000000029,ORD-2026-000029,CUST-00038,759200,INR,PAID,2026-08-01T05:55:19
00000000-0000-4000-8000-000000000030,ORD-2026-000030,CUST-00135,781800,INR,PAID,2026-07-27T16:00:37
00000000-0000-4000-8000-000000000031,ORD-2026-000031,CUST-00291,262700,INR,PAID,2026-07-07T05:26:53
00000000-0000-4000-8000-000000000032,ORD-2026-000032,CUST-00099,304500,INR,PAID,2026-06-18T01:03:14
00000000-0000-4000-8000-000000000033,ORD-2026-000033,CUST-00180,923200,INR,PAID,2026-06-30T21:22:03
00000000-0000-4000-8000-000000000034,ORD-2026-000034,CUST-00392,867400,INR,PAID,2026-08-05T05:27:31
00000000-0000-4000-8000-000000000035,ORD-2026-000035,CUST-00176,348000,INR,PAID,2026-08-10T05:00:04
00000000-0000-4000-8000-000000000036,ORD-2026-000036,CUST-00115,394100,INR,PAID,2026-07-09T00:41:46
00000000-0000-4000-8000-000000000037,ORD-2026-000037,CUST-00371,142800,INR,PAID,2026-08-18T18:37:50
00000000-0000-4000-8000-000000000038,ORD-2026-000038,CUST-00033,95200,INR,PAID,2026-07-08T16:02:41
00000000-0000-4000-8000-000000000039,ORD-2026-000039,CUST-00336,358800,INR,PAID,2026-06-25T20:28:26
00000000-0000-4000-8000-000000000040,ORD-2026-000040,CUST-00375,304400,INR,PAID,2026-06-02T21:03:52
00000000-0000-4000-8000-000000000041,ORD-2026-000041,CUST-00032,1395100,INR,PAID,2026-07-28T05:19:52
00000000-0000-4000-8000-000000000042,ORD-2026-000042,CUST-00339,1028500,INR,PAID,2026-08-23T22:46:08
00000000-0000-4000-8000-000000000043,ORD-2026-000043,CUST-00054,1389000,INR,PAID,2026-08-02T15:26:41
00000000-0000-4000-8000-000000000044,ORD-2026-000044,CUST-00285,1453100,INR,PAID,2026-08-28T20:09:11
00000000-0000-4000-8000-000000000045,ORD-2026-000045,CUST-00184,749500,INR,PAID,2026-06-29T16:51:06
00000000-0000-4000-8000-000000000046,ORD-2026-000046,CUST-00233,789400,INR,PAID,2026-07-14T14:07:48
00000000-0000-4000-8000-000000000047,ORD-2026-000047,CUST-00327,943300,INR,PAID,2026-07-09T21:49:18
00000000-0000-4000-8000-000000000048,ORD-2026-000048,CUST-00069,717000,INR,PAID,2026-06-17T03:33:27
00000000-0000-4000-8000-000000000049,ORD-2026-000049,CUST-00033,164300,INR,PAID,2026-06-14T15:51:05
00000000-0000-4000-8000-000000000050,ORD-2026-000050,CUST-00227,1157200,INR,PAID,2026-06-17T09:06:26
00000000-0000-4000-8000-000000000051,ORD-2026-000051,CUST-00295,1491300,INR,PAID,2026-07-20T17:55:32
00000000-0000-4000-8000-000000000052,ORD-2026-000052,CUST-00369,894700,INR,PAID,2026-06-10T18:49:25
00000000-0000-4000-8000-000000000053,ORD-2026-000053,CUST-00095,294000,INR,PAID,2026-07-03T15:04:22
